Word,log_freq_pm,Nletters,Nphon,Nsyll,Perc_known_final,letters_per_syll,phon_per_syll,letters_per_phon,letters_x_syll,phon_x_syll,is_lemma_match,lemma_length_diff,AoA_final,Age_Group
asked,5.381071327576949,5,4,1,1.0,5.0,4.0,1.25,5,4,0,2,2.89,below_6
asking,4.862544646498545,6,5,2,1.0,3.0,2.5,1.2,12,10,0,3,2.89,below_6
asks,2.87389692069266,4,4,1,1.0,4.0,4.0,1.0,4,4,0,1,2.89,below_6
asleep,3.9283594247478395,6,5,2,1.0,3.0,2.5,1.2,12,10,1,0,4.47,below_6
aspect,1.5816031134406565,6,6,2,1.0,3.0,3.0,1.0,12,12,1,0,10.35,age_8_plus
aspects,1.3046163301056233,7,7,2,1.0,3.5,3.5,1.0,14,14,0,1,10.35,age_8_plus
aspirin,2.1684933192957385,7,6,2,1.0,3.5,3.0,1.1666666666666667,14,12,1,0,7.95,age_6_8
ass,5.42658985731722,3,2,1,1.0,3.0,2.0,1.5,3,2,1,0,7.84,age_6_8
assassin,1.934642424208971,8,6,3,1.0,2.6666666666666665,2.0,1.3333333333333333,24,18,1,0,11.28,age_8_plus
assassinated,1.2443240998495035,12,10,5,1.0,2.4,2.0,1.2,60,50,0,1,10.11,age_8_plus
assassination,1.8733093361921627,13,10,5,1.0,2.6,2.0,1.3,65,50,1,0,9.05,age_8_plus
